11510 22800
-0.651303 0.523507 -0.119476
-0.671749 0.531103 -0.199464
-0.730210 0.523306 -0.481316
-0.728665 0.497594 -0.550878
-0.714403 0.455050 -0.626430
-0.722214 0.537071 -0.413881
-0.707037 0.539583 -0.346213
-0.690987 0.535424 -0.275240
-0.655760 0.690277 -0.158443
-0.632463 0.682556 -0.084379
-0.728702 0.575856 -0.471702
-0.732328 0.559193 -0.542752
-0.727660 0.536670 -0.617627
-0.717458 0.585471 -0.402359
-0.690542 0.700130 -0.301518
-0.673847 0.696192 -0.230809
-0.648374 0.743076 -0.147882
-0.626182 0.732606 -0.077863
-0.711640 0.766941 -0.420281
-0.722800 0.771224 -0.487523
-0.731219 0.777861 -0.555833
-0.698207 0.763281 -0.353041
-0.683945 0.759062 -0.285197
-0.667709 0.752564 -0.216698
-0.640175 0.796278 -0.138382
-0.618315 0.784054 -0.073195
-0.700018 0.830935 -0.399213
-0.710063 0.839034 -0.462786
-0.717494 0.850636 -0.525834
-0.688151 0.824410 -0.334794
-0.675517 0.818053 -0.269408
-0.659617 0.808886 -0.203750
-0.591927 0.954275 -0.112389
-0.642328 1.001039 -0.344535
-0.651144 1.007216 -0.397906
-0.632327 0.993654 -0.286863
-0.621246 0.984090 -0.227410
-0.607871 0.970548 -0.168659
-0.237644 1.135851 0.150904
-0.539442 1.052130 -0.084653
-0.585989 1.102831 -0.329148
-0.599789 1.100790 -0.389880
-0.574304 1.098444 -0.266446
-0.563380 1.088279 -0.203560
-0.551981 1.072678 -0.142354
-0.456707 1.263210 -0.411406
-0.439632 1.263835 -0.328062
-0.427351 1.256026 -0.247747
-0.416050 1.237979 -0.170732
-0.404937 1.210776 -0.097469
-0.395776 1.177284 -0.028240
-0.388081 1.137351 0.036886
-0.475885 1.031574 0.036933
-0.278832 1.356498 -0.428218
-0.267853 1.352394 -0.331856
-0.259790 1.337829 -0.240997
-0.254331 1.313443 -0.154413
-0.250784 1.282379 -0.071913
-0.247933 1.243945 0.007345
-0.243854 1.195318 0.081768
-0.379507 1.090053 0.096441
-0.574368 0.937857 -0.060079
-0.442669 1.102384 0.011768
-0.395789 1.303689 -0.515467
-0.520362 1.208651 -0.402443
-0.502029 1.210840 -0.326956
-0.487711 1.204485 -0.253056
-0.474687 1.189079 -0.181607
-0.462854 1.166230 -0.113001
-0.452584 1.137466 -0.048262
-0.525786 1.027534 -0.032143
-0.057590 1.401371 -0.436157
-0.058290 1.396318 -0.333610
-0.058978 1.380081 -0.237252
-0.059417 1.351211 -0.146057
-0.059766 1.315123 -0.060169
-0.059701 1.272144 0.022074
-0.059194 1.222299 0.101988
